Data,S&P Comp. P,Dividend D,Earnings E,Consumer Price Index CPI,Date Fraction,Long Interest Rate GS10,Real Price,Real Dividend,Real Total Return Price ,RealEarnings,Real TR Scaled Earnings ,Cyclically Adjusted P/E10 or CAPE,,Cyclically Adjusted TR P/E10 or TR CAPE,Excess CAPE Yield,Monthly Total Bond Returns,Real Total Bond Returns,10 Year Annualized Stock Real Return,10 Year Annualized Bonds Real Return,Real 10 Year Excess Annualized  Returns
1871.01,4.44,0.26,0.4,12.46,1871.04,5.32,112.21,6.57,112.21,10.11,10.11,NA,,NA,,1,1,13.06%,9.25%,3.81%
1871.02,4.5,0.26,0.4,12.84,1871.13,5.32,110.35,6.38,110.88,9.81,9.86,NA,,NA,,1,0.97,13.09%,9.46%,3.62%
1871.03,4.61,0.26,0.4,13.03,1871.21,5.33,111.4,6.28,112.46,9.67,9.76,NA,,NA,,1,0.96,13.10%,9.62%,3.48%
1871.04,4.74,0.26,0.4,12.56,1871.29,5.33,118.88,6.52,120.56,10.03,10.17,NA,,NA,,1,1,12.21%,9.10%,3.11%
1871.05,4.86,0.26,0.4,12.27,1871.38,5.33,124.72,6.67,127.05,10.27,10.46,NA,,NA,,1,1.03,12.26%,8.95%,3.31%
1871.06,4.82,0.26,0.4,12.08,1871.46,5.34,125.65,6.78,128.57,10.43,10.67,NA,,NA,,1,1.05,12.31%,8.77%,3.54%
1871.07,4.73,0.26,0.4,12.08,1871.54,5.34,123.3,6.78,126.74,10.43,10.72,NA,,NA,,1,1.06,12.00%,8.66%,3.34%
1871.08,4.79,0.26,0.4,11.89,1871.63,5.34,126.86,6.89,131,10.59,10.94,NA,,NA,,1,1.08,11.19%,8.27%,2.93%
1871.09,4.84,0.26,0.4,12.18,1871.71,5.35,125.18,6.72,129.84,10.35,10.73,NA,,NA,,1,1.06,11.00%,8.10%,2.90%
1871.1,4.59,0.26,0.4,12.37,1871.79,5.35,116.89,6.62,121.81,10.19,10.62,NA,,NA,,1,1.05,11.48%,8.17%,3.31%
1871.11,4.64,0.26,0.4,12.37,1871.88,5.35,118.16,6.62,123.71,10.19,10.66,NA,,NA,,1,1.05,11.53%,8.26%,3.27%
1871.12,4.74,0.26,0.4,12.65,1871.96,5.36,117.99,6.47,124.09,9.96,10.47,NA,,NA,,1,1.03,11.21%,8.50%,2.71%
1872.01,4.86,0.26,0.4,12.65,1872.04,5.36,120.97,6.55,127.81,10.02,10.59,NA,,NA,,1,1.04,10.77%,8.49%,2.28%
1872.02,4.88,0.27,0.41,12.65,1872.13,5.38,121.47,6.64,128.92,10.08,10.7,NA,,NA,,1,1.04,10.38%,8.39%,1.98%
